ID,topic,created,modified,orderIndex,orderMethod
7EF3B7FC-D4F1-4266-B7A9-8BF181A58723,Prosperity ,1490497837.46809,1490497837.4681,,
22F896BB-6060-4BD2-8026-8854194A36AB,Protection,1490497851.55918,1490497851.55919,,
58BBD0BC-85F1-4CEF-B4E6-C694C79D491B,Providence,1490497867.69491,1490497867.69492,,
9CDC034A-EAAD-4A3B-9FB8-25DB01E9E5C9,Psalms,1490497889.17355,1490497889.17356,,
7D820D56-4FEE-4032-AFDC-6B38F99A9EDF,Purity,1490497895.34836,1490497895.34836,,
D223B0D6-D97D-4238-8E43-9E97611DFB0D,Purpose,1490497903.66386,1490497903.66388,,
B7B4C17E-2A36-4820-95DA-E00A99E956EA,Pursue ,1490497912.65049,1490497912.65049,,
B92D7C75-95F0-4722-9030-017836BEFE14,Quietness ,1490497924.8843,1490497924.88432,,
46DC8831-1A11-4AC9-9012-4FE57FDD3650,Rapture,1490497932.78783,1490497932.78784,,
7F2F01B6-E387-42AA-AFF2-AF7988F1DC5C,Recessional,1490497941.13686,1490497941.13687,,
C861BD89-92A7-4EA0-8426-07C604640BBF,Reconciliation ,1490497952.35829,1490497952.35831,,
C9DC96EB-46A4-4229-A5EF-8AF1F16FAD87,Redeemer ,1490497960.17252,1490497960.17253,,
4E6AEA83-05C5-4EB7-99B2-87E5BC5217DF,Redemption ,1490497968.73169,1490497968.7317,,
6A555A02-E8D8-4654-B0B1-31D534130685,Refreshing ,1490497978.60783,1490497978.60784,,
5076B879-8C5C-4319-9DBE-6E65109DF593,Refuge,1490497985.50252,1490497985.50265,,
B5737E7C-1094-400A-8ABE-D43DC32CA667,Regret,1490497993.98606,1490497993.98607,,
11FD614D-ACE0-4216-9E57-312664B00AF3,Rejoice,1490498000.51061,1490498000.51063,,
13C90A71-94F4-4659-BFEB-45C93FA8C915,Remembrance,1490498074.96439,1490498074.96441,,
28CBC98F-8332-4C5B-905C-5572CB76A736,Renewal,1490498091.34938,1490498091.3494,,
A4322AA0-C744-40FC-8E8F-DEE05FBE1523,Rest,1490498097.80048,1490498097.8005,,
3AD94B7C-253A-446F-BBCA-E5E900CE4A0F,Restoration ,1490498111.75711,1490498111.75713,,
576CA400-086E-48C7-AFBE-37D61D7A2A80,Resurrection ,1490498122.15444,1490498122.15445,,
6DC43C72-E046-4621-83A3-3884EAA2B49A,Reverence ,1490498145.7915,1490498145.79152,,
D9D7E238-A379-4493-9DB2-95EA8F0406E6,Revival,1490498154.21251,1490498154.21252,,
FC2469E1-E08A-41D7-89F7-53FC033FDAF0,Righteousness ,1490498162.69025,1490498162.69026,,
CF354FF6-B095-47AC-92D0-AA7816EFCF02,River,1490498173.15873,1490498173.15874,,
D9517EDB-4458-4A31-BB46-334EA8469929,Rock,1490498180.18232,1490498180.18233,,
01DCEC75-0323-4462-B40F-FBFCCD0C8033,Sacrament,1490498191.32578,1490498191.32579,,
9FBDF01F-D378-48CF-8272-131EDFEFCB0D,Sacrifice,1490498198.1943,1490498198.19431,,
17056847-B773-4BD4-B14A-35926427200D,Salvation,1490498220.20003,1490498220.20004,,
3EAC58BC-7C25-4186-837F-D9A89A58CFEC,Sanctification ,1490498231.4653,1490498231.4653,,
